1|Alfa Romeo|Alfa Romeo Racing|Switzerland (CH)|Ferrari|Jan Monchaux|C38|Kimi Räikkönen|Antonio Giovinazzi
2|Ferrari|Scuderia Ferrari Mission Winnow|Italy (IT)|Ferrari|Mattia Binotto|SF90|Sebastian Vettel|Charles Leclerc
3|Red Bull|Aston Martin Red Bull Racing|United Kingdom (GB)|Honda|Pierre Waché|RB15|Max Verstappen|Alexander Albon
4|Haas|Haas F1 Team|United States (US)|Ferrari|Rob Taylor|VF-19|Romain Grosjean|Kevin Magnussen
5|McLaren|McLaren F1 Team|United Kingdom (GB)|Renault|James Key|MCL34|Carlos Sainz|Lando Norris
6|Mercedes|Mercedes AMG Petronas Motorsport|United Kingdom (GB)|Mercedes|James Allison|W10|Lewis Hamilton|Valtteri Bottas
7|Toro Rosso|Red Bull Toro Rosso Honda|Italy (IT)|Honda|Jody Eggington|STR14|Daniil Kvyat|Pierre Gasly
8|Racing Point|SportPesa Racing Point F1 Team|United Kingdom (GB)|BWT Mercedes|Andrew Green|RP19|Sergio Perez|Lance Stroll
9|Williams|ROKiT Williams Racing|United Kingdom (GB)|Mercedes|TBC|FW42|Robert Kubica|George Russell
10|Renault|Renault F1 Team|United Kingdom (GB)|Renault|Nick Chester|R.S.19|Nico Hulkenberg|Daniel Ricciardo
